Player,Play ID,Cluster,Route Type,Length,Curvature,Angle,Duration
Albert Wilson,724,3,Compact Curve,34.96729729729729,11.918006283623077,18.47,51.35
Albert Wilson,777,5,Sneak Hook,44.217833333333346,1.2423097998844288,42.34,46.28
Albert Wilson,870,2,Linear Dart,21.202972972972972,3.4548433412794646,14.61,25.34
Albert Wilson,1317,1,Angular Stretch,29.407123287671237,6.120372555463994,20.26,37.46
Albert Wilson,1336,1,Angular Stretch,28.60906666666667,4.3035734526347085,22.94,38.38
Albert Wilson,1690,1,Angular Stretch,25.775806451612905,2.908218914191571,22.43,31.61
Albert Wilson,1736,2,Linear Dart,23.195970149253732,2.097795616086116,19.09,26.72
Albert Wilson,1757,3,Compact Curve,31.19910256410257,8.433037167075423,20.22,41.72
Albert Wilson,1776,1,Angular Stretch,31.070673076923075,4.75085787079617,25.01,37.38
Albert Wilson,1884,1,Angular Stretch,32.32054054054054,1.9487750080859123,26.05,34.71
Albert Wilson,1955,1,Angular Stretch,30.546615384615386,6.583486865909999,19.27,39.59
Albert Wilson,1993,1,Angular Stretch,30.80551282051282,4.935180782139571,23.28,39.1
Albert Wilson,2034,5,Sneak Hook,40.14277777777779,4.243160255118498,31.82,45.46
Albert Wilson,2058,5,Sneak Hook,44.69883116883117,5.939574730945225,36.81,53.21
Albert Wilson,2082,4,Burst Drop,24.267536231884055,10.283334400553878,12.75,39.71
Albert Wilson,2103,0,Extended Zig,13.021153846153847,1.3152765925055077,11.76,15.53
Albert Wilson,2125,0,Extended Zig,13.940263157894737,5.308842666444703,8.6,22.02
Albert Wilson,2166,0,Extended Zig,12.075192307692307,5.32528709604707,5.82,20.29
Albert Wilson,2190,3,Compact Curve,35.89780487804878,14.645588949210765,14.24,54.65
Albert Wilson,2219,4,Burst Drop,23.670606060606058,7.011995179716491,16.47,36.99
Albert Wilson,2317,2,Linear Dart,17.22456140350877,3.505961374360863,10.85,20.61
Albert Wilson,2495,1,Angular Stretch,33.79313131313131,5.198185123551917,24.23,40.52
Albert Wilson,2548,2,Linear Dart,20.198727272727275,4.307610624146082,11.32,24.34
Albert Wilson,2572,1,Angular Stretch,34.22179487179488,3.01144046952819,29.88,37.64
